Camera,Latitude,Longitude,Veg_Cover_General,Veg_Cover_Fewer_Categories,Pasture,Max_Detect_Distance,Camera_Direction,Longitude.UTM,Latitude.UTM,elevation.clean,slope.clean,vegetation.clean,vegetation.coarser.clean,vegetation.coarser.clean2,blm.dist.clean,bound.dist.clean,fence.dist.clean,hq.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
F10,39.01207,-123.063,Woodland_Sparse,Woodland,Middle,10,N,494545.6463,4318117.893,0.293638736,-0.411188513,9,2,2,-0.054821938,0.149577111,-0.16766642,-0.182121336,-0.851979136,-0.259029955,0.086445518,-0.636775255,-1.229196072,-1.235325694,-1.323605061,-0.914947212,0.3794415,-0.097642817,0.13541013,-0.122997232,-0.097642817
G09,39.01563,-123.056,Grassland,Grassland,Riley Ridge Bio,15,NW,495151.9287,4318512.555,0.75159812,-0.217417449,5,3,3,-0.496187538,-0.792348921,0.785151005,0.412318558,1.844766021,0.434401989,-0.549284935,-0.438321739,-0.313378036,-0.746003389,-1.143716335,-0.027176457,0.3794415,0.174320415,-0.652088881,-0.631501794,0.174320415
G11,39.00889,-123.055,Chaparral,Chaparral,Riley Ridge Bio,12,N,495238.0494,4317764.555,0.388111562,-0.805437863,2,1,1,-0.178791419,-0.740706027,0.660149813,0.119705133,0.635703444,-0.624078393,-0.732098937,-0.331949383,-0.58373636,-0.830757082,-0.769478023,-0.665262163,0.3794415,1.321407199,0.39529565,-0.806218743,1.321407199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
